ATAR Range
69.40 119.61 119.67
69.35 119.54 119.60
69.30 119.47 119.53
69.25 119.40 119.46
69.20 119.31 119.39
69.15 119.23 119.30
69.10 119.17 119.22
69.05 119.11 119.16
69.00 119.04 119.10
68.95 118.95 119.03
68.90 118.89 118.94
68.85 118.82 118.88
68.80 118.75 118.81
68.75 118.69 118.74
68.70 118.65 118.68
68.65 118.58 118.64
68.60 118.52 118.57
68.55 118.45 118.51
68.50 118.39 118.44
68.45 118.33 118.38
68.40 118.28 118.32
68.35 118.21 118.27
68.30 118.14 118.20
68.25 118.07 118.13
68.20 118.00 118.06
68.15 117.93 117.99
68.10 117.87 117.92
68.05 117.82 117.86
68.00 117.73 117.81
67.95 117.67 117.72
67.90 117.57 117.66
67.85 117.50 117.56
ATAR Range
67.80 117.42 117.49
67.75 117.37 117.41
67.70 117.31 117.36
67.65 117.24 117.30
67.60 117.15 117.23
67.55 117.08 117.14
67.50 117.02 117.07
67.45 116.94 117.01
67.40 116.87 116.93
67.35 116.81 116.86
67.30 116.74 116.80
67.25 116.66 116.73
67.20 116.59 116.65
67.15 116.53 116.58
67.10 116.46 116.52
67.05 116.41 116.45
67.00 116.33 116.40
66.95 116.26 116.32
66.90 116.19 116.25
66.85 116.12 116.18
66.80 116.07 116.11
66.75 115.99 116.06
66.70 115.93 115.98
66.65 115.87 115.92
66.60 115.80 115.86
66.55 115.72 115.79
66.50 115.64 115.71
66.45 115.59 115.63
66.40 115.52 115.58
66.35 115.46 115.51
66.30 115.39 115.45
66.25 115.33 115.38
66.20 115.26 115.32
66.15 115.17 115.25
ATAR Range
66.10 115.10 115.16
66.05 115.04 115.09
66.00 114.99 115.03
65.95 114.92 114.98
65.90 114.88 114.91
65.85 114.81 114.87
65.80 114.74 114.80
65.75 114.67 114.73
65.70 114.59 114.66
65.65 114.53 114.58
65.60 114.46 114.52
65.55 114.39 114.45
65.50 114.32 114.38
65.45 114.24 114.31
65.40 114.18 114.23
65.35 114.13 114.17
65.30 114.05 114.12
65.25 113.99 114.04
65.20 113.90 113.98
65.15 113.84 113.89
65.10 113.77 113.83
65.05 113.71 113.76
65.00 113.64 113.70
64.95 113.57 113.63
64.90 113.50 113.56
64.85 113.44 113.49
64.80 113.36 113.43
64.75 113.31 113.35
64.70 113.26 113.30
64.65 113.20 113.25
64.60 113.12 113.19
64.55 113.05 113.11
64.50 113.00 113.04
64.45 112.94 112.99
ATAR Range
64.40 112.88 112.93
64.35 112.80 112.87
64.30 112.74 112.79
64.25 112.68 112.73
64.20 112.62 112.67
64.15 112.55 112.61
64.10 112.48 112.54
64.05 112.40 112.47
64.00 112.34 112.39
63.95 112.27 112.33
63.90 112.21 112.26
63.85 112.17 112.20
63.80 112.11 112.16
63.75 112.05 112.10
63.70 111.99 112.04
63.65 111.93 111.98
63.60 111.88 111.92
63.55 111.80 111.87
63.50 111.71 111.79
63.45 111.62 111.70
63.40 111.57 111.61
63.35 111.50 111.56
63.30 111.45 111.49
63.25 111.39 111.44
63.20 111.32 111.38
63.15 111.25 111.31
63.10 111.18 111.24
63.05 111.12 111.17
63.00 111.05 111.11
62.95 110.97 111.04
62.90 110.91 110.96
62.85 110.84 110.90
62.80 110.78 110.83
62.75 110.71 110.77
ATAR Range
62.70 110.63 110.70
62.65 110.56 110.62
62.60 110.49 110.55
62.55 110.42 110.48
62.50 110.37 110.41
62.45 110.31 110.36
62.40 110.24 110.30
62.35 110.19 110.23
62.30 110.12 110.18
62.25 110.06 110.11
62.20 110.02 110.05
62.15 109.95 110.01
62.10 109.88 109.94
62.05 109.83 109.87
62.00 109.74 109.82
61.95 109.67 109.73
61.90 109.60 109.66
61.85 109.55 109.59
61.80 109.49 109.54
61.75 109.43 109.48
61.70 109.34 109.42
61.65 109.28 109.33
61.60 109.22 109.27
61.55 109.15 109.21
61.50 109.06 109.14
61.45 108.99 109.05
61.40 108.92 108.98
61.35 108.86 108.91
61.30 108.81 108.85
61.25 108.74 108.80
61.20 108.67 108.73
61.15 108.60 108.66
61.10 108.53 108.59
61.05 108.48 108.52
ATAR Range
61.00 108.41 108.47
60.95 108.34 108.40
60.90 108.27 108.33
60.85 108.22 108.26
60.80 108.15 108.21
60.75 108.07 108.14
60.70 108.02 108.06
60.65 107.95 108.01
60.60 107.88 107.94
60.55 107.81 107.87
60.50 107.72 107.80
60.45 107.64 107.71
60.40 107.56 107.63
60.35 107.51 107.55
60.30 107.44 107.50
60.25 107.38 107.43
60.20 107.30 107.37
60.15 107.23 107.29
60.10 107.15 107.22
60.05 107.09 107.14
60.00 107.03 107.08
59.95 106.97 107.02
59.90 106.90 106.96
59.85 106.83 106.89
59.80 106.77 106.82
59.75 106.72 106.76
59.70 106.67 106.71
59.65 106.59 106.66
59.60 106.53 106.58
59.55 106.47 106.52
59.50 106.41 106.46
59.45 106.35 106.40
59.40 106.29 106.34
59.35 106.22 106.2
ATAR Range
59.30 106.16 106.21
59.25 106.08 106.15
59.20 106.00 106.07
59.15 105.94 105.99
59.10 105.88 105.93
59.05 105.81 105.87
59.00 105.75 105.80
58.95 105.71 105.74
58.90 105.67 105.70
58.85 105.58 105.66
58.80 105.51 105.57
58.75 105.44 105.50
58.70 105.38 105.43
58.65 105.32 105.37
58.60 105.25 105.31
58.55 105.18 105.24
58.50 105.12 105.17
58.45 105.04 105.11
58.40 104.98 105.03
58.35 104.92 104.97
58.30 104.87 104.91
58.25 104.81 104.86
58.20 104.73 104.80
58.15 104.68 104.72
58.10 104.63 104.67
58.05 104.56 104.62
58.00 104.50 104.55
57.95 104.43 104.49
57.90 104.36 104.42
57.85 104.30 104.35
57.80 104.25 104.29
57.75 104.19 104.24
57.70 104.11 104.18
57.65 104.07 104.10
ATAR Range
57.60 104.00 104.06
57.55 103.95 103.99
57.50 103.89 103.94
57.45 103.82 103.88
57.40 103.75 103.81
57.35 103.69 103.74
57.30 103.63 103.68
57.25 103.57 103.62
57.20 103.50 103.56
57.15 103.45 103.49
57.10 103.39 103.44
57.05 103.35 103.38
57.00 103.28 103.34
56.95 103.23 103.27
56.90 103.14 103.22
56.85 103.06 103.13
56.80 103.00 103.05
56.75 102.94 102.99
56.70 102.88 102.93
56.65 102.81 102.87
56.60 102.75 102.80
56.55 102.68 102.74
56.50 102.62 102.67
56.45 102.55 102.61
56.40 102.47 102.54
