ATAR Range
44.70 90.97 91.01
44.65 90.87 90.96
44.60 90.81 90.86
44.55 90.74 90.80
44.50 90.68 90.73
44.45 90.60 90.67
44.40 90.52 90.59
44.35 90.48 90.51
44.30 90.39 90.47
44.25 90.35 90.38
44.20 90.31 90.34
Victorian Tertiary Admissions Centre
2019 Aggregate to ATAR Table
12 December 2019
Page 12 of 14
ATAR Range
44.15 90.21 90.30
44.10 90.17 90.20
44.05 90.10 90.16
44.00 90.04 90.09
43.95 89.97 90.03
43.90 89.89 89.96
43.85 89.83 89.88
43.80 89.78 89.82
43.75 89.70 89.77
43.70 89.63 89.69
43.65 89.57 89.62
43.60 89.51 89.56
43.55 89.46 89.50
43.50 89.40 89.45
43.45 89.35 89.39
43.40 89.29 89.34
43.35 89.19 89.28
43.30 89.12 89.18
43.25 89.06 89.11
43.20 88.99 89.05
43.15 88.90 88.98
43.10 88.84 88.89
43.05 88.78 88.83
43.00 88.71 88.77
42.95 88.65 88.70
42.90 88.61 88.64
42.85 88.53 88.60
42.80 88.47 88.52
42.75 88.41 88.46
42.70 88.33 88.40
42.65 88.26 88.32
42.60 88.20 88.25
42.55 88.13 88.19
42.50 88.08 88.12
ATAR Range
42.45 88.01 88.07
42.40 87.95 88.00
42.35 87.90 87.94
42.30 87.85 87.89
42.25 87.79 87.84
42.20 87.71 87.78
42.15 87.64 87.70
42.10 87.57 87.63
42.05 87.51 87.56
42.00 87.45 87.50
41.95 87.40 87.44
41.90 87.33 87.39
41.85 87.25 87.32
41.80 87.14 87.24
41.75 87.07 87.13
41.70 87.02 87.06
41.65 86.95 87.01
41.60 86.86 86.94
41.55 86.76 86.85
41.50 86.69 86.75
41.45 86.59 86.68
41.40 86.52 86.58
41.35 86.47 86.51
41.30 86.41 86.46
41.25 86.35 86.40
41.20 86.29 86.34
41.15 86.20 86.28
41.10 86.14 86.19
41.05 86.04 86.13
41.00 85.99 86.03
40.95 85.93 85.98
40.90 85.87 85.92
40.85 85.83 85.86
40.80 85.79 85.82
ATAR Range
40.75 85.73 85.78
40.70 85.67 85.72
40.65 85.60 85.66
40.60 85.53 85.59
40.55 85.48 85.52
40.50 85.42 85.47
40.45 85.34 85.41
40.40 85.26 85.33
40.35 85.20 85.25
40.30 85.12 85.19
40.25 85.06 85.11
40.20 84.99 85.05
40.15 84.92 84.98
40.10 84.85 84.91
40.05 84.78 84.84
40.00 84.72 84.77
39.95 84.66 84.71
39.90 84.59 84.65
39.85 84.52 84.58
39.80 84.43 84.51
39.75 84.35 84.42
39.70 84.30 84.34
39.65 84.24 84.29
39.60 84.19 84.23
39.55 84.13 84.18
39.50 84.08 84.12
39.45 84.01 84.07
39.40 83.93 84.00
39.35 83.88 83.92
39.30 83.81 83.87
39.25 83.75 83.80
39.20 83.69 83.74
39.15 83.60 83.68
39.10 83.54 83.59
Victorian Tertiary Admissions Centre
2019 Aggregate to ATAR Table
12 December 2019
Page 13 of 14
ATAR Range
39.05 83.47 83.53
39.00 83.39 83.46
38.95 83.33 83.38
38.90 83.26 83.32
38.85 83.21 83.25
38.80 83.15 83.20
38.75 83.05 83.14
38.70 82.98 83.04
38.65 82.91 82.97
38.60 82.87 82.90
38.55 82.79 82.86
38.50 82.75 82.78
38.45 82.70 82.74
38.40 82.61 82.69
38.35 82.56 82.60
38.30 82.49 82.55
38.25 82.40 82.48
38.20 82.33 82.39
38.15 82.26 82.32
38.10 82.20 82.25
38.05 82.11 82.19
38.00 82.02 82.10
37.95 81.95 82.01
37.90 81.88 81.94
37.85 81.81 81.87
37.80 81.72 81.80
37.75 81.67 81.71
37.70 81.60 81.66
37.65 81.56 81.59
37.60 81.49 81.55
37.55 81.42 81.48
37.50 81.33 81.41
37.45 81.27 81.32
37.40 81.22 81.26
ATAR Range
37.35 81.19 81.21
37.30 81.10 81.18
37.25 81.03 81.09
37.20 80.97 81.02
37.15 80.91 80.96
37.10 80.84 80.90
37.05 80.75 80.83
37.00 80.67 80.74
36.95 80.60 80.66
36.90 80.54 80.59
36.85 80.46 80.53
36.80 80.37 80.45
36.75 80.30 80.36
36.70 80.23 80.29
36.65 80.15 80.22
36.60 80.08 80.14
36.55 79.98 80.07
36.50 79.92 79.97
36.45 79.85 79.91
36.40 79.79 79.84
36.35 79.71 79.78
36.30 79.64 79.70
36.25 79.53 79.63
36.20 79.46 79.52
36.15 79.41 79.45
36.10 79.34 79.40
36.05 79.29 79.33
36.00 79.20 79.28
35.95 79.12 79.19
35.90 79.05 79.11
35.85 78.95 79.04
35.80 78.87 78.94
35.75 78.79 78.86
35.70 78.73 78.78
ATAR Range
35.65 78.66 78.72
35.60 78.59 78.65
35.55 78.49 78.58
35.50 78.41 78.48
35.45 78.34 78.40
35.40 78.27 78.33
35.35 78.22 78.26
35.30 78.16 78.21
35.25 78.09 78.15
35.20 78.03 78.08
35.15 77.98 78.02
35.10 77.91 77.97
35.05 77.86 77.90
35.00 77.75 77.85
34.95 77.67 77.74
34.90 77.60 77.66
34.85 77.49 77.59
34.80 77.39 77.48
34.75 77.31 77.38
34.70 77.25 77.30
34.65 77.15 77.24
34.60 77.08 77.14
34.55 77.03 77.07
34.50 76.99 77.02
34.45 76.90 76.98
34.40 76.79 76.89
34.35 76.73 76.78
34.30 76.63 76.72
34.25 76.56 76.62
34.20 76.47 76.55
34.15 76.42 76.46
34.10 76.36 76.41
34.05 76.28 76.35
34.00 76.16 76.27
Victorian Tertiary Admissions Centre
2019 Aggregate to ATAR Table
12 December 2019
Page 14 of 14
ATAR Range
33.95 76.09 76.15
33.90 75.99 76.08
33.85 75.91 75.98
33.80 75.84 75.90
33.75 75.78 75.83
33.70 75.68 75.77
33.65 75.63 75.67
33.60 75.54 75.62
33.55 75.48 75.53
33.50 75.43 75.47
33.45 75.34 75.42
33.40 75.24 75.33
33.35 75.15 75.23
33.30 75.08 75.14
33.25 75.01 75.07
33.20 74.90 75.00
33.15 74.86 74.89
33.10 74.79 74.85
33.05 74.69 74.78
33.00 74.61 74.68
32.95 74.53 74.60
32.90 74.43 74.52
32.85 74.39 74.42
32.80 74.27 74.38
32.75 74.21 74.26
32.70 74.17 74.20
32.65 74.10 74.16
ATAR Range
32.60 74.01 74.09
32.55 73.94 74.00
32.50 73.89 73.93
32.45 73.83 73.88
32.40 73.75 73.82
32.35 73.70 73.74
32.30 73.64 73.69
32.25 73.59 73.63
32.20 73.52 73.58
32.15 73.43 73.51
32.10 73.36 73.42
32.05 73.29 73.35
32.00 73.21 73.28
31.95 73.13 73.20
31.90 73.09 73.12
31.85 73.05 73.08
31.80 72.99 73.04
31.75 72.93 72.98
31.70 72.85 72.92
31.65 72.78 72.84
31.60 72.73 72.77
31.55 72.64 72.72
31.50 72.58 72.63
31.45 72.51 72.57
31.40 72.44 72.50
31.35 72.35 72.43
31.30 72.24 72.34
ATAR Range
31.25 72.15 72.23
31.20 72.09 72.14
31.15 72.00 72.08
31.10 71.94 71.99
31.05 71.88 71.93
31.00 71.81 71.87
30.95 71.74 71.80
30.90 71.64 71.73
30.85 71.56 71.63
30.80 71.51 71.55
30.75 71.45 71.50
30.70 71.36 71.44
30.65 71.30 71.35
30.60 71.23 71.29
30.55 71.17 71.22
30.50 71.10 71.16
30.45 70.99 71.09
30.40 70.92 70.98
30.35 70.86 70.91
30.30 70.81 70.85
30.25 70.75 70.80
30.20 70.68 70.74
30.15 70.60 70.67
30.10 70.54 70.59
30.05 70.47 70.53
30.00 70.38 70.46
< 30 0.00 70.37
